,start,end
3936,2020-06-13T18:10:09.000Z,2020-06-13T18:20:09.000Z
3937,2020-06-13T12:30:59.000Z,2020-06-13T12:40:59.000Z
3938,2020-06-13T06:03:05.000Z,2020-06-13T06:13:05.000Z
3939,2020-06-13T04:54:47.000Z,2020-06-13T05:04:47.000Z
3940,2020-06-13T09:06:57.000Z,2020-06-13T09:16:57.000Z
3941,2020-06-13T08:08:04.000Z,2020-06-13T08:18:04.000Z
3942,2020-06-13T08:35:37.000Z,2020-06-13T08:45:37.000Z
3943,2020-06-13T23:03:06.000Z,2020-06-13T23:13:06.000Z
3944,2020-06-13T01:09:12.000Z,2020-06-13T01:19:12.000Z
3945,2020-06-13T20:12:04.000Z,2020-06-13T20:22:04.000Z
3946,2020-06-13T03:46:09.000Z,2020-06-13T03:56:09.000Z
3947,2020-06-13T23:25:53.000Z,2020-06-13T23:35:53.000Z
3948,2020-06-13T06:55:31.000Z,2020-06-13T07:05:31.000Z
3949,2020-06-13T04:54:06.000Z,2020-06-13T05:04:06.000Z
3950,2020-06-13T10:31:01.000Z,2020-06-13T10:41:01.000Z
3951,2020-06-13T16:04:28.000Z,2020-06-13T16:14:28.000Z
3952,2020-06-13T03:44:48.000Z,2020-06-13T03:54:48.000Z
3953,2020-06-13T07:38:31.000Z,2020-06-13T07:48:31.000Z
3954,2020-06-13T23:36:19.000Z,2020-06-13T23:46:19.000Z
3955,2020-06-13T11:15:26.000Z,2020-06-13T11:25:26.000Z
3956,2020-06-13T03:38:35.000Z,2020-06-13T03:48:35.000Z
3957,2020-06-13T17:08:05.000Z,2020-06-13T17:18:05.000Z
3958,2020-06-13T03:19:31.000Z,2020-06-13T03:29:31.000Z
3959,2020-06-13T05:37:29.000Z,2020-06-13T05:47:29.000Z
3960,2020-06-14T20:15:39.000Z,2020-06-14T20:25:39.000Z
3961,2020-06-14T00:05:11.000Z,2020-06-14T00:15:11.000Z
3962,2020-06-14T21:23:17.000Z,2020-06-14T21:33:17.000Z
3963,2020-06-14T09:34:07.000Z,2020-06-14T09:44:07.000Z
3964,2020-06-14T04:24:33.000Z,2020-06-14T04:34:33.000Z
3965,2020-06-14T20:20:31.000Z,2020-06-14T20:30:31.000Z
3966,2020-06-14T15:18:00.000Z,2020-06-14T15:28:00.000Z
3967,2020-06-14T00:04:32.000Z,2020-06-14T00:14:32.000Z
3968,2020-06-14T07:03:46.000Z,2020-06-14T07:13:46.000Z
3969,2020-06-14T04:04:33.000Z,2020-06-14T04:14:33.000Z
3970,2020-06-14T07:25:04.000Z,2020-06-14T07:35:04.000Z
3971,2020-06-14T10:24:24.000Z,2020-06-14T10:34:24.000Z
3972,2020-06-14T06:25:07.000Z,2020-06-14T06:35:07.000Z
3973,2020-06-14T01:11:34.000Z,2020-06-14T01:21:34.000Z
3974,2020-06-14T00:48:41.000Z,2020-06-14T00:58:41.000Z
3975,2020-06-14T06:57:05.000Z,2020-06-14T07:07:05.000Z
3976,2020-06-14T22:45:01.000Z,2020-06-14T22:55:01.000Z
3977,2020-06-14T05:43:22.000Z,2020-06-14T05:53:22.000Z
3978,2020-06-14T00:20:18.000Z,2020-06-14T00:30:18.000Z
3979,2020-06-14T23:43:11.000Z,2020-06-14T23:53:11.000Z
3980,2020-06-14T18:12:57.000Z,2020-06-14T18:22:57.000Z
3981,2020-06-14T04:32:55.000Z,2020-06-14T04:42:55.000Z
3982,2020-06-14T23:08:16.000Z,2020-06-14T23:18:16.000Z
3983,2020-06-14T22:13:47.000Z,2020-06-14T22:23:47.000Z
3984,2020-06-15T15:05:23.000Z,2020-06-15T15:15:23.000Z
3985,2020-06-15T16:25:01.000Z,2020-06-15T16:35:01.000Z
3986,2020-06-15T22:40:31.000Z,2020-06-15T22:50:31.000Z
3987,2020-06-15T23:12:41.000Z,2020-06-15T23:22:41.000Z
3988,2020-06-15T10:50:37.000Z,2020-06-15T11:00:37.000Z
3989,2020-06-15T10:31:37.000Z,2020-06-15T10:41:37.000Z
3990,2020-06-15T22:19:11.000Z,2020-06-15T22:29:11.000Z
3991,2020-06-15T04:00:50.000Z,2020-06-15T04:10:50.000Z
3992,2020-06-15T22:56:59.000Z,2020-06-15T23:06:59.000Z
3993,2020-06-15T08:55:09.000Z,2020-06-15T09:05:09.000Z
3994,2020-06-15T01:52:37.000Z,2020-06-15T02:02:37.000Z
3995,2020-06-15T15:42:44.000Z,2020-06-15T15:52:44.000Z
3996,2020-06-15T13:41:17.000Z,2020-06-15T13:51:17.000Z
3997,2020-06-15T04:38:35.000Z,2020-06-15T04:48:35.000Z
3998,2020-06-15T01:16:39.000Z,2020-06-15T01:26:39.000Z
3999,2020-06-15T05:54:39.000Z,2020-06-15T06:04:39.000Z
4000,2020-06-15T01:48:27.000Z,2020-06-15T01:58:27.000Z
4001,2020-06-15T08:57:09.000Z,2020-06-15T09:07:09.000Z
4002,2020-06-15T10:56:41.000Z,2020-06-15T11:06:41.000Z
4003,2020-06-15T04:26:05.000Z,2020-06-15T04:36:05.000Z
4004,2020-06-15T03:38:57.000Z,2020-06-15T03:48:57.000Z
4005,2020-06-15T00:18:19.000Z,2020-06-15T00:28:19.000Z
4006,2020-06-15T16:46:40.000Z,2020-06-15T16:56:40.000Z
4007,2020-06-15T19:20:51.000Z,2020-06-15T19:30:51.000Z
4008,2020-06-16T16:37:27.000Z,2020-06-16T16:47:27.000Z
4009,2020-06-16T15:51:33.000Z,2020-06-16T16:01:33.000Z
4010,2020-06-16T06:19:06.000Z,2020-06-16T06:29:06.000Z
4011,2020-06-16T11:44:50.000Z,2020-06-16T11:54:50.000Z
4012,2020-06-16T21:20:14.000Z,2020-06-16T21:30:14.000Z
4013,2020-06-16T17:13:11.000Z,2020-06-16T17:23:11.000Z
4014,2020-06-16T02:57:04.000Z,2020-06-16T03:07:04.000Z
4015,2020-06-16T18:40:52.000Z,2020-06-16T18:50:52.000Z
4016,2020-06-16T08:32:09.000Z,2020-06-16T08:42:09.000Z
