,start,end
1968,2020-03-23T07:18:49.000Z,2020-03-23T07:28:49.000Z
1969,2020-03-23T16:03:19.000Z,2020-03-23T16:13:19.000Z
1970,2020-03-23T09:27:28.000Z,2020-03-23T09:37:28.000Z
1971,2020-03-23T02:24:08.000Z,2020-03-23T02:34:08.000Z
1972,2020-03-23T16:16:53.000Z,2020-03-23T16:26:53.000Z
1973,2020-03-23T17:46:33.000Z,2020-03-23T17:56:33.000Z
1974,2020-03-23T22:06:16.000Z,2020-03-23T22:16:16.000Z
1975,2020-03-23T12:31:04.000Z,2020-03-23T12:41:04.000Z
1976,2020-03-23T02:04:07.000Z,2020-03-23T02:14:07.000Z
1977,2020-03-23T11:43:37.000Z,2020-03-23T11:53:37.000Z
1978,2020-03-23T06:08:07.000Z,2020-03-23T06:18:07.000Z
1979,2020-03-23T21:25:25.000Z,2020-03-23T21:35:25.000Z
1980,2020-03-23T21:56:30.000Z,2020-03-23T22:06:30.000Z
1981,2020-03-23T23:28:53.000Z,2020-03-23T23:38:53.000Z
1982,2020-03-23T10:10:47.000Z,2020-03-23T10:20:47.000Z
1983,2020-03-23T20:54:04.000Z,2020-03-23T21:04:04.000Z
1984,2020-03-23T23:52:46.000Z,2020-03-24T00:02:46.000Z
1985,2020-03-23T08:10:01.000Z,2020-03-23T08:20:01.000Z
1986,2020-03-23T07:45:05.000Z,2020-03-23T07:55:05.000Z
1987,2020-03-23T22:37:26.000Z,2020-03-23T22:47:26.000Z
1988,2020-03-23T09:27:26.000Z,2020-03-23T09:37:26.000Z
1989,2020-03-23T13:15:25.000Z,2020-03-23T13:25:25.000Z
1990,2020-03-23T16:42:24.000Z,2020-03-23T16:52:24.000Z
1991,2020-03-23T10:09:54.000Z,2020-03-23T10:19:54.000Z
1992,2020-03-24T13:39:26.000Z,2020-03-24T13:49:26.000Z
1993,2020-03-24T02:01:38.000Z,2020-03-24T02:11:38.000Z
1994,2020-03-24T08:58:05.000Z,2020-03-24T09:08:05.000Z
1995,2020-03-24T00:31:36.000Z,2020-03-24T00:41:36.000Z
1996,2020-03-24T15:28:18.000Z,2020-03-24T15:38:18.000Z
1997,2020-03-24T21:49:21.000Z,2020-03-24T21:59:21.000Z
1998,2020-03-24T16:04:14.000Z,2020-03-24T16:14:14.000Z
1999,2020-03-24T08:19:28.000Z,2020-03-24T08:29:28.000Z
2000,2020-03-24T22:15:20.000Z,2020-03-24T22:25:20.000Z
2001,2020-03-24T23:01:22.000Z,2020-03-24T23:11:22.000Z
2002,2020-03-24T01:08:09.000Z,2020-03-24T01:18:09.000Z
2003,2020-03-24T13:58:07.000Z,2020-03-24T14:08:07.000Z
2004,2020-03-24T15:30:48.000Z,2020-03-24T15:40:48.000Z
2005,2020-03-24T07:31:52.000Z,2020-03-24T07:41:52.000Z
2006,2020-03-24T07:10:12.000Z,2020-03-24T07:20:12.000Z
2007,2020-03-24T14:44:36.000Z,2020-03-24T14:54:36.000Z
2008,2020-03-24T00:15:33.000Z,2020-03-24T00:25:33.000Z
2009,2020-03-24T08:29:54.000Z,2020-03-24T08:39:54.000Z
2010,2020-03-24T13:32:03.000Z,2020-03-24T13:42:03.000Z
2011,2020-03-24T00:41:57.000Z,2020-03-24T00:51:57.000Z
2012,2020-03-24T15:39:31.000Z,2020-03-24T15:49:31.000Z
2013,2020-03-24T19:39:43.000Z,2020-03-24T19:49:43.000Z
2014,2020-03-24T18:58:27.000Z,2020-03-24T19:08:27.000Z
2015,2020-03-24T06:59:48.000Z,2020-03-24T07:09:48.000Z
2016,2020-03-25T10:01:51.000Z,2020-03-25T10:11:51.000Z
2017,2020-03-25T04:52:22.000Z,2020-03-25T05:02:22.000Z
2018,2020-03-25T05:11:51.000Z,2020-03-25T05:21:51.000Z
2019,2020-03-25T16:09:12.000Z,2020-03-25T16:19:12.000Z
2020,2020-03-25T23:51:19.000Z,2020-03-26T00:01:19.000Z
2021,2020-03-25T10:03:35.000Z,2020-03-25T10:13:35.000Z
2022,2020-03-25T22:03:38.000Z,2020-03-25T22:13:38.000Z
2023,2020-03-25T21:31:15.000Z,2020-03-25T21:41:15.000Z
2024,2020-03-25T19:41:45.000Z,2020-03-25T19:51:45.000Z
2025,2020-03-25T23:21:47.000Z,2020-03-25T23:31:47.000Z
2026,2020-03-25T14:00:29.000Z,2020-03-25T14:10:29.000Z
2027,2020-03-25T03:10:04.000Z,2020-03-25T03:20:04.000Z
2028,2020-03-25T03:49:39.000Z,2020-03-25T03:59:39.000Z
