,start,end
5904,2020-09-03T16:11:21.000Z,2020-09-03T16:31:21.000Z
5905,2020-09-03T19:03:59.000Z,2020-09-03T19:23:59.000Z
5906,2020-09-03T09:39:58.000Z,2020-09-03T09:59:58.000Z
5907,2020-09-03T09:10:18.000Z,2020-09-03T09:30:18.000Z
5908,2020-09-03T12:35:52.000Z,2020-09-03T12:55:52.000Z
5909,2020-09-03T00:25:07.000Z,2020-09-03T00:45:07.000Z
5910,2020-09-03T16:19:50.000Z,2020-09-03T16:39:50.000Z
5911,2020-09-03T18:12:51.000Z,2020-09-03T18:32:51.000Z
5912,2020-09-03T14:16:47.000Z,2020-09-03T14:36:47.000Z
5913,2020-09-03T09:12:41.000Z,2020-09-03T09:32:41.000Z
5914,2020-09-03T14:00:23.000Z,2020-09-03T14:20:23.000Z
5915,2020-09-03T11:32:14.000Z,2020-09-03T11:52:14.000Z
5916,2020-09-03T00:47:15.000Z,2020-09-03T01:07:15.000Z
5917,2020-09-03T15:43:43.000Z,2020-09-03T16:03:43.000Z
5918,2020-09-03T04:26:05.000Z,2020-09-03T04:46:05.000Z
5919,2020-09-03T04:13:43.000Z,2020-09-03T04:33:43.000Z
5920,2020-09-03T14:55:28.000Z,2020-09-03T15:15:28.000Z
5921,2020-09-03T13:49:30.000Z,2020-09-03T14:09:30.000Z
5922,2020-09-03T23:10:55.000Z,2020-09-03T23:30:55.000Z
5923,2020-09-03T18:26:31.000Z,2020-09-03T18:46:31.000Z
5924,2020-09-03T04:11:12.000Z,2020-09-03T04:31:12.000Z
5925,2020-09-03T15:34:32.000Z,2020-09-03T15:54:32.000Z
5926,2020-09-03T14:03:36.000Z,2020-09-03T14:23:36.000Z
5927,2020-09-03T18:33:08.000Z,2020-09-03T18:53:08.000Z
5928,2020-09-04T05:42:10.000Z,2020-09-04T06:02:10.000Z
5929,2020-09-04T01:16:38.000Z,2020-09-04T01:36:38.000Z
5930,2020-09-04T22:16:33.000Z,2020-09-04T22:36:33.000Z
5931,2020-09-04T10:18:18.000Z,2020-09-04T10:38:18.000Z
5932,2020-09-04T10:20:49.000Z,2020-09-04T10:40:49.000Z
5933,2020-09-04T04:47:15.000Z,2020-09-04T05:07:15.000Z
5934,2020-09-04T00:38:55.000Z,2020-09-04T00:58:55.000Z
5935,2020-09-04T21:48:16.000Z,2020-09-04T22:08:16.000Z
5936,2020-09-04T21:02:31.000Z,2020-09-04T21:22:31.000Z
5937,2020-09-04T12:15:22.000Z,2020-09-04T12:35:22.000Z
5938,2020-09-04T10:03:50.000Z,2020-09-04T10:23:50.000Z
5939,2020-09-04T14:37:27.000Z,2020-09-04T14:57:27.000Z
5940,2020-09-04T07:20:12.000Z,2020-09-04T07:40:12.000Z
5941,2020-09-04T01:46:06.000Z,2020-09-04T02:06:06.000Z
5942,2020-09-04T03:10:20.000Z,2020-09-04T03:30:20.000Z
5943,2020-09-04T10:27:12.000Z,2020-09-04T10:47:12.000Z
5944,2020-09-04T08:44:22.000Z,2020-09-04T09:04:22.000Z
5945,2020-09-04T08:28:22.000Z,2020-09-04T08:48:22.000Z
5946,2020-09-04T11:35:48.000Z,2020-09-04T11:55:48.000Z
5947,2020-09-04T22:38:55.000Z,2020-09-04T22:58:55.000Z
5948,2020-09-04T00:54:07.000Z,2020-09-04T01:14:07.000Z
5949,2020-09-04T23:40:36.000Z,2020-09-05T00:00:36.000Z
5950,2020-09-04T05:04:36.000Z,2020-09-04T05:24:36.000Z
5951,2020-09-04T14:39:55.000Z,2020-09-04T14:59:55.000Z
5952,2020-09-05T10:03:36.000Z,2020-09-05T10:23:36.000Z
5953,2020-09-05T13:22:58.000Z,2020-09-05T13:42:58.000Z
5954,2020-09-05T17:27:39.000Z,2020-09-05T17:47:39.000Z
5955,2020-09-05T08:48:09.000Z,2020-09-05T09:08:09.000Z
5956,2020-09-05T16:19:48.000Z,2020-09-05T16:39:48.000Z
5957,2020-09-05T19:35:44.000Z,2020-09-05T19:55:44.000Z
5958,2020-09-05T21:38:25.000Z,2020-09-05T21:58:25.000Z
5959,2020-09-05T08:11:04.000Z,2020-09-05T08:31:04.000Z
5960,2020-09-05T20:33:49.000Z,2020-09-05T20:53:49.000Z
5961,2020-09-05T06:01:34.000Z,2020-09-05T06:21:34.000Z
5962,2020-09-05T18:21:08.000Z,2020-09-05T18:41:08.000Z
5963,2020-09-05T20:19:32.000Z,2020-09-05T20:39:32.000Z
5964,2020-09-05T20:55:18.000Z,2020-09-05T21:15:18.000Z
5965,2020-09-05T10:09:15.000Z,2020-09-05T10:29:15.000Z
5966,2020-09-05T03:17:05.000Z,2020-09-05T03:37:05.000Z
5967,2020-09-05T15:06:13.000Z,2020-09-05T15:26:13.000Z
5968,2020-09-05T02:01:56.000Z,2020-09-05T02:21:56.000Z
5969,2020-09-05T21:47:53.000Z,2020-09-05T22:07:53.000Z
5970,2020-09-05T09:48:24.000Z,2020-09-05T10:08:24.000Z
5971,2020-09-05T20:23:11.000Z,2020-09-05T20:43:11.000Z
5972,2020-09-05T17:51:49.000Z,2020-09-05T18:11:49.000Z
5973,2020-09-05T01:02:56.000Z,2020-09-05T01:22:56.000Z
5974,2020-09-05T16:32:24.000Z,2020-09-05T16:52:24.000Z
5975,2020-09-05T20:12:21.000Z,2020-09-05T20:32:21.000Z
5976,2020-09-06T16:48:15.000Z,2020-09-06T17:08:15.000Z
5977,2020-09-06T06:34:10.000Z,2020-09-06T06:54:10.000Z
5978,2020-09-06T09:45:49.000Z,2020-09-06T10:05:49.000Z
5979,2020-09-06T18:19:12.000Z,2020-09-06T18:39:12.000Z
5980,2020-09-06T20:17:10.000Z,2020-09-06T20:37:10.000Z
5981,2020-09-06T15:36:31.000Z,2020-09-06T15:56:31.000Z
5982,2020-09-06T16:34:00.000Z,2020-09-06T16:54:00.000Z
5983,2020-09-06T18:29:13.000Z,2020-09-06T18:49:13.000Z
5984,2020-09-06T16:05:08.000Z,2020-09-06T16:25:08.000Z
5985,2020-09-06T11:51:44.000Z,2020-09-06T12:11:44.000Z
5986,2020-09-06T00:30:34.000Z,2020-09-06T00:50:34.000Z
5987,2020-09-06T15:12:28.000Z,2020-09-06T15:32:28.000Z
5988,2020-09-06T19:19:34.000Z,2020-09-06T19:39:34.000Z
5989,2020-09-06T21:27:22.000Z,2020-09-06T21:47:22.000Z
5990,2020-09-06T08:50:56.000Z,2020-09-06T09:10:56.000Z
5991,2020-09-06T22:50:03.000Z,2020-09-06T23:10:03.000Z
5992,2020-09-06T11:44:49.000Z,2020-09-06T12:04:49.000Z
5993,2020-09-06T20:24:22.000Z,2020-09-06T20:44:22.000Z
5994,2020-09-06T21:28:45.000Z,2020-09-06T21:48:45.000Z
5995,2020-09-06T12:54:18.000Z,2020-09-06T13:14:18.000Z
5996,2020-09-06T04:02:17.000Z,2020-09-06T04:22:17.000Z
5997,2020-09-06T23:25:09.000Z,2020-09-06T23:45:09.000Z
5998,2020-09-06T04:57:34.000Z,2020-09-06T05:17:34.000Z
5999,2020-09-06T16:48:57.000Z,2020-09-06T17:08:57.000Z
6000,2020-09-07T23:52:42.000Z,2020-09-08T00:12:42.000Z
6001,2020-09-07T05:56:02.000Z,2020-09-07T06:16:02.000Z
6002,2020-09-07T17:28:33.000Z,2020-09-07T17:48:33.000Z
6003,2020-09-07T06:14:05.000Z,2020-09-07T06:34:05.000Z
6004,2020-09-07T20:18:50.000Z,2020-09-07T20:38:50.000Z
6005,2020-09-07T20:19:37.000Z,2020-09-07T20:39:37.000Z
6006,2020-09-07T18:19:23.000Z,2020-09-07T18:39:23.000Z
6007,2020-09-07T14:38:58.000Z,2020-09-07T14:58:58.000Z
6008,2020-09-07T10:00:20.000Z,2020-09-07T10:20:20.000Z
6009,2020-09-07T02:25:14.000Z,2020-09-07T02:45:14.000Z
6010,2020-09-07T14:14:02.000Z,2020-09-07T14:34:02.000Z
6011,2020-09-07T05:44:53.000Z,2020-09-07T06:04:53.000Z
6012,2020-09-07T18:08:49.000Z,2020-09-07T18:28:49.000Z
6013,2020-09-07T00:50:36.000Z,2020-09-07T01:10:36.000Z
6014,2020-09-07T16:01:44.000Z,2020-09-07T16:21:44.000Z
6015,2020-09-07T17:17:35.000Z,2020-09-07T17:37:35.000Z
6016,2020-09-07T01:43:50.000Z,2020-09-07T02:03:50.000Z
6017,2020-09-07T17:02:35.000Z,2020-09-07T17:22:35.000Z
6018,2020-09-07T12:20:38.000Z,2020-09-07T12:40:38.000Z
6019,2020-09-07T01:54:58.000Z,2020-09-07T02:14:58.000Z
6020,2020-09-07T05:17:15.000Z,2020-09-07T05:37:15.000Z
6021,2020-09-07T15:44:54.000Z,2020-09-07T16:04:54.000Z
6022,2020-09-07T20:45:58.000Z,2020-09-07T21:05:58.000Z
6023,2020-09-07T14:31:41.000Z,2020-09-07T14:51:41.000Z
6024,2020-09-08T07:40:46.000Z,2020-09-08T08:00:46.000Z
6025,2020-09-08T02:50:34.000Z,2020-09-08T03:10:34.000Z
6026,2020-09-08T02:02:31.000Z,2020-09-08T02:22:31.000Z
6027,2020-09-08T05:21:25.000Z,2020-09-08T05:41:25.000Z
6028,2020-09-08T14:21:37.000Z,2020-09-08T14:41:37.000Z
6029,2020-09-08T08:48:09.000Z,2020-09-08T09:08:09.000Z
6030,2020-09-08T03:59:47.000Z,2020-09-08T04:19:47.000Z
6031,2020-09-08T15:02:34.000Z,2020-09-08T15:22:34.000Z
6032,2020-09-08T21:57:55.000Z,2020-09-08T22:17:55.000Z
6033,2020-09-08T18:48:15.000Z,2020-09-08T19:08:15.000Z
6034,2020-09-08T04:49:39.000Z,2020-09-08T05:09:39.000Z
6035,2020-09-08T16:19:06.000Z,2020-09-08T16:39:06.000Z
6036,2020-09-08T20:16:50.000Z,2020-09-08T20:36:50.000Z
6037,2020-09-08T01:49:13.000Z,2020-09-08T02:09:13.000Z
6038,2020-09-08T04:11:09.000Z,2020-09-08T04:31:09.000Z
6039,2020-09-08T23:16:44.000Z,2020-09-08T23:36:44.000Z
6040,2020-09-08T13:36:15.000Z,2020-09-08T13:56:15.000Z
6041,2020-09-08T08:31:16.000Z,2020-09-08T08:51:16.000Z
6042,2020-09-08T16:49:16.000Z,2020-09-08T17:09:16.000Z
6043,2020-09-08T23:51:04.000Z,2020-09-09T00:11:04.000Z
6044,2020-09-08T13:39:37.000Z,2020-09-08T13:59:37.000Z
6045,2020-09-08T10:03:02.000Z,2020-09-08T10:23:02.000Z
6046,2020-09-08T17:31:21.000Z,2020-09-08T17:51:21.000Z
6047,2020-09-08T17:29:53.000Z,2020-09-08T17:49:53.000Z
6048,2020-09-09T07:23:38.000Z,2020-09-09T07:43:38.000Z
6049,2020-09-09T17:04:06.000Z,2020-09-09T17:24:06.000Z
6050,2020-09-09T02:49:16.000Z,2020-09-09T03:09:16.000Z
6051,2020-09-09T05:31:03.000Z,2020-09-09T05:51:03.000Z
6052,2020-09-09T08:26:31.000Z,2020-09-09T08:46:31.000Z
6053,2020-09-09T12:06:04.000Z,2020-09-09T12:26:04.000Z
6054,2020-09-09T04:41:45.000Z,2020-09-09T05:01:45.000Z
6055,2020-09-09T23:59:02.000Z,2020-09-10T00:19:02.000Z
6056,2020-09-09T13:28:51.000Z,2020-09-09T13:48:51.000Z
6057,2020-09-09T18:51:39.000Z,2020-09-09T19:11:39.000Z
6058,2020-09-09T19:18:40.000Z,2020-09-09T19:38:40.000Z
6059,2020-09-09T20:23:24.000Z,2020-09-09T20:43:24.000Z
6060,2020-09-09T00:55:42.000Z,2020-09-09T01:15:42.000Z
6061,2020-09-09T01:18:11.000Z,2020-09-09T01:38:11.000Z
6062,2020-09-09T14:30:23.000Z,2020-09-09T14:50:23.000Z
6063,2020-09-09T16:08:40.000Z,2020-09-09T16:28:40.000Z
6064,2020-09-09T21:27:21.000Z,2020-09-09T21:47:21.000Z
6065,2020-09-09T06:41:58.000Z,2020-09-09T07:01:58.000Z
6066,2020-09-09T06:02:10.000Z,2020-09-09T06:22:10.000Z
6067,2020-09-09T23:42:35.000Z,2020-09-10T00:02:35.000Z
6068,2020-09-09T10:46:27.000Z,2020-09-09T11:06:27.000Z
6069,2020-09-09T14:15:22.000Z,2020-09-09T14:35:22.000Z
6070,2020-09-09T16:19:40.000Z,2020-09-09T16:39:40.000Z
6071,2020-09-09T04:09:32.000Z,2020-09-09T04:29:32.000Z
6072,2020-09-10T23:05:20.000Z,2020-09-10T23:25:20.000Z
6073,2020-09-10T08:52:56.000Z,2020-09-10T09:12:56.000Z
6074,2020-09-10T08:49:41.000Z,2020-09-10T09:09:41.000Z
6075,2020-09-10T01:04:23.000Z,2020-09-10T01:24:23.000Z
6076,2020-09-10T05:37:57.000Z,2020-09-10T05:57:57.000Z
6077,2020-09-10T07:25:05.000Z,2020-09-10T07:45:05.000Z
6078,2020-09-10T18:28:59.000Z,2020-09-10T18:48:59.000Z
6079,2020-09-10T15:19:11.000Z,2020-09-10T15:39:11.000Z
6080,2020-09-10T02:37:55.000Z,2020-09-10T02:57:55.000Z
6081,2020-09-10T04:38:45.000Z,2020-09-10T04:58:45.000Z
6082,2020-09-10T14:52:33.000Z,2020-09-10T15:12:33.000Z
6083,2020-09-10T06:44:40.000Z,2020-09-10T07:04:40.000Z
6084,2020-09-10T15:22:55.000Z,2020-09-10T15:42:55.000Z
6085,2020-09-10T06:35:13.000Z,2020-09-10T06:55:13.000Z
